Name,Photo Src
Sir Bobby Charlton,https://upload.wikimedia.org/wikipedia/commons/b/b5/Bobby_charlton_elgrafico.JPG?20180716070033
Ryan Giggs,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ryan_Giggs_vs_Everton_2009.jpg?20091129194226
Cristiano Ronaldo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Cristiano_Ronaldo.jpg/1599px-Cristiano_Ronaldo.jpg?20070420131537
Paul Scholes,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/P_Scholes.jpg/500px-P_Scholes.jpg
George Best,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/George_Best_(1976).jpg/960px-George_Best_(1976).jpg?20230710223158
Andy Cole,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Andy_Cole_in_2014.jpg/640px-Andy_Cole_in_2014.jpg
Antonio Valencia,https://upload.wikimedia.org/wikipedia/commons/5/51/Antonio_Valencia_cropped.jpg?20100521133345
Bruno Fernandes,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Manchester_United_v_Everton,_2_October_2021_(39).jpg/960px-Manchester_United_v_Everton,_2_October_2021_(39).jpg?20211208045738
Darren Fletcher,https://upload.wikimedia.org/wikipedia/commons/1/10/Darren_Fletcher_vs_Everton_(cropped).jpg?20160119233150
David Beckham,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/1999_FA_Cup_Final_Beckham_corner_(cropped).jpg/1369px-1999_FA_Cup_Final_Beckham_corner_(cropped).jpg?20181231174552
David de Gea,https://upload.wikimedia.org/wikipedia/commons/6/68/David_de_Gea_2017.jpg?20171114105851 
Denis Law,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Statue_of_Denis_Law_by_Alan_Herriot.jpg/960px-Statue_of_Denis_Law_by_Alan_Herriot.jpg?20250211085300
Dimitar Berbatov,https://upload.wikimedia.org/wikipedia/commons/7/77/Dimitar_Berbatov.jpg?20081025005717
Edwin van der Sar,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Edwin_van_der_Sar_playing_for_MUFC.jpg/1599px-Edwin_van_der_Sar_playing_for_MUFC.jpg?20070126092527
Eric Cantona,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Eric_Cantona_%C3%A0_Namur_pour_%22UBU_ENCHAINE%22.jpg/640px-Eric_Cantona_%C3%A0_Namur_pour_%22UBU_ENCHAINE%22.jpg
Gary Neville,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Gary_Neville.jpg/960px-Gary_Neville.jpg?20070126173822
Javier Hernández,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Chicharito_2010.jpg/640px-Chicharito_2010.jpg
Michael Carrick,https://upload.wikimedia.org/wikipedia/commons/b/b9/Michael_Carrick_-_July_2015_(cropped).jpg
Nemanja Vidić,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Nemanja_Vidić.jpg/982px-Nemanja_Vidić.jpg?20080526221408
Ole Gunnar Solskjær,https://upload.wikimedia.org/wikipedia/commons/d/d3/Solskjær_2011.png?20250310100034
Park Ji-sung,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Ji-Sung_Park_vs_Fulham.jpg/1599px-Ji-Sung_Park_vs_Fulham.jpg?20100825114135
Patrice Evra,https://upload.wikimedia.org/wikipedia/commons/a/a4/Patrice_Evra_postmatch_vs_Everton_2009.jpg?20091129192819
Rio Ferdinand,https://upload.wikimedia.org/wikipedia/commons/b/b5/Rio_Ferdinand_-_Oct_2010.jpg?20110330160258
Roy Keane,https://upload.wikimedia.org/wikipedia/commons/8/87/Roy_Keane_signing_autographs.jpg?20070819124102
Ruud van Nistelrooy,https://upload.wikimedia.org/wikipedia/commons/2/2b/Ruud.JPG?20060413112838
Wayne Rooney,https://upload.wikimedia.org/wikipedia/commons/b/be/Wayne_Rooney_vs_Everton_2009.jpg
Wes Brown,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Brown_Manchester_-_Old_Trafford_-_Manchester_United_vs_Crawley_Town.jpg/640px-Brown_Manchester_-_Old_Trafford_-_Manchester_United_vs_Crawley_Town.jpg
Arthur Albiston,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Albiston,_Arthur.jpg/640px-Albiston,_Arthur.jpg
Brian McClair,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Brian_McClair_(2017-07-29_img03).jpg/640px-Brian_McClair_(2017-07-29_img03).jpg
Bryan Robson,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Bryan_Robson_2010-02-21.jpg/640px-Bryan_Robson_2010-02-21.jpg
Carlos Tevez,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Carlos_Tevez.jpg/1114px-Carlos_Tevez.jpg?20081112234501
Denis Irwin,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Denis_Irwin_(2017-07-29_img01).jpg/640px-Denis_Irwin_(2017-07-29_img01).jpg
Diego Forlán,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/U10_Diego_Forlán_7524.jpg/960px-U10_Diego_Forlán_7524.jpg?20140308221834
Duncan Edwards,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/DuncanEdwards1.jpg/960px-DuncanEdwards1.jpg?20081020163715 
Dwight Yorke,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Dwight_Yorke_in_Chennai.jpg/640px-Dwight_Yorke_in_Chennai.jpg 
Edinson Cavani,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Edinson_Cavani_2021(cropped).jpg/1109px-Edinson_Cavani_2021(cropped).jpg?20211025192238 
Gerard Piqué,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Gerard_Piqué_2018.jpg/640px-Gerard_Piqué_2018.jpg 
Harry Maguire,https://upload.wikimedia.org/wikipedia/commons/3/39/Harry_Maguire_2021.jpg?20220611022111 
John O'Shea,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Manchester_-_Old_Trafford_-_Manchester_United_vs_Crawley_Town.jpg/640px-Manchester_-_Old_Trafford_-_Manchester_United_vs_Crawley_Town.jpg 
Laurent Blanc,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Laurent_blanc_11_11_2013_reves_de_Clara.jpg/1200px-Laurent_blanc_11_11_2013_reves_de_Clara.jpg?20150220144932 
Luke Shaw,https://upload.wikimedia.org/wikipedia/commons/b/b3/Luke_Shaw,_Manchester_United_v_Newcastle_United,_11_September_2021_(44)_(cropped).jpg?20250830155835
Mark Hughes,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Mark_Hughes_juli_1991.JPG/640px-Mark_Hughes_juli_1991.JPG 
Michael Owen,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Michael_Owen_vs_Everton_2009.jpg/640px-Michael_Owen_vs_Everton_2009.jpg 
Mikaël Silvestre,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Stade_rennais_-_Le_Havre_AC_20150708_57.JPG/640px-Stade_rennais_-_Le_Havre_AC_20150708_57.JPG 
Nani,https://upload.wikimedia.org/wikipedia/commons/b/b2/Nani_goal_celebration.jpg?20110324184509 
Norman Whiteside,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Norman_whiteside_head_crop.jpg/640px-Norman_whiteside_head_crop.jpg 
Paul Ince,https://upload.wikimedia.org/wikipedia/commons/4/41/Paul_Ince.jpg 
Peter Schmeichel,https://upload.wikimedia.org/wikipedia/commons/c/cb/Peter_Schmeichel_in_2018.jpg?20180910032838 
Quinton Fortune,https://upload.wikimedia.org/wikipedia/commons/0/01/Fortune,_Quinton.jpg
Robin van Persie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Robin_van_Persie_ManUtd.jpg/1600px-Robin_van_Persie_ManUtd.jpg?20130123002301 
Ronny Johnsen,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Ronny_Johnsen_(2017-07-29_img05).jpg/640px-Ronny_Johnsen_(2017-07-29_img05).jpg 
Sammy McIlroy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/McIlroy,_Sammy.jpg/640px-McIlroy,_Sammy.jpg
Shinji Kagawa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Manchester_United_training_2012,_Cape_Town.jpg/960px-Manchester_United_training_2012,_Cape_Town.jpg?20171020140647
Steve Bruce,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Steve_Bruce.jpg/500px-Steve_Bruce.jpg 
Teddy Sheringham,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Teddy_Sheringham_-_53492983124_(original).jpg/640px-Teddy_Sheringham_-_53492983124_(original).jpg 
Tommy Taylor,https://upload.wikimedia.org/wikipedia/commons/f/f4/Tommy_Taylor_1957_(cropped).jpg?20201226181327 
Aaron Wan-Bissaka,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Aaron_Wan_Bissaka_2019.jpg/960px-Aaron_Wan_Bissaka_2019.jpg?20191117233818 
Adnan Januzaj,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Adnan_Januzaj_-_July_2015.jpg/640px-Adnan_Januzaj_-_July_2015.jpg 
Alejandro Garnacho,https://upload.wikimedia.org/wikipedia/commons/a/ab/Alejandro_Garnacho_7_August_2022_(cropped).jpg?20240102031055 
Amad Diallo,https://upload.wikimedia.org/wikipedia/commons/1/19/Manchester_United_v_BSC_Young_Boys,_8_December_2021_(17)_(cropped).jpg?20220824131924,
Ander Herrera,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Ander_Herrera_MUFC_2014.jpg/960px-Ander_Herrera_MUFC_2014.jpg?20140921193233 
Anderson,https://upload.wikimedia.org/wikipedia/commons/4/48/Anderson_2013.jpg?20130912093459 
André Onana,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/André_Onana.jpg/960px-André_Onana.jpg?20220528115605 
Andreas Pereira,"https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Manchester_United_v_Brentford,_28_July_2021_(01).jpg/960px-Manchester_United_v_Brentford,_28_July_2021_(01).jpg?20210806231228" 
Anthony Elanga,https://upload.wikimedia.org/wikipedia/commons/2/2d/Anthony_Elanga_Manchester_United_(cropped).jpg?20250820022732 
Anthony Martial,"https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Manchester_United_v_Newcastle_United,_11_September_2021_(37).jpg/960px-Manchester_United_v_Newcastle_United,_11_September_2021_(37).jpg?20211020132431" 
Ashley Young,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Ashley_Young_2017-03-09.jpg/1266px-Ashley_Young_2017-03-09.jpg?20170310080902 
Bastian Schweinsteiger,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bastian_Schweinsteiger_-_July_2015.jpg/960px-Bastian_Schweinsteiger_-_July_2015.jpg?20210317172147 
Casemiro,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Casemiro_2022.jpg/544px-Casemiro_2022.jpg?20220926215000 
Charlie Savage,https://upload.wikimedia.org/wikipedia/commons/e/ee/Charlie_Savage_debut.jpg?20220824131151 
Chris Smalling,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chris_Smalling_vs_Rostov_9_March_2017_(cropped).jpg/640px-Chris_Smalling_vs_Rostov_9_March_2017_(cropped).jpg 
Christian Eriksen,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Christian_Eriksen_2022.jpg/960px-Christian_Eriksen_2022.jpg?20240218154715 
Danny Welbeck,"https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Fernando_Recio,_player_of_Kitchee_SC,_in_action_against_Danny_Welbeck.png/640px-Fernando_Recio,_player_of_Kitchee_SC,_in_action_against_Danny_Welbeck.png" 
Diogo Dalot,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Diogo_Dalot_2022_(cropped).jpg/750px-Diogo_Dalot_2022_(cropped).jpg?20250822022825 
Donny van de Beek,https://upload.wikimedia.org/wikipedia/commons/5/52/Donny_van_de_Beek_2021_(cropped).jpg?20230909110611 
Fred,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Fred_(footballer)_in_2022.jpg/500px-Fred_(footballer)_in_2022.jpg?20220404145619 
Henrikh Mkhitaryan,https://upload.wikimedia.org/wikipedia/commons/1/1f/Mkhitaryan_144856.jpg?20161209121944 
Juan Mata,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Juan_Mata,_July_2021.jpg/685px-Juan_Mata,_July_2021.jpg?20221207115351" 
Lisandro Martínez,https://upload.wikimedia.org/wikipedia/commons/6/61/Lisandro_Martinez_2022.jpg?20221006132045 
Louis Saha,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Louis_Saha.jpg/1148px-Louis_Saha.jpg?20080526222211 
Marcos Rojo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Marcos_Rojo_vs_Rostov.jpg/640px-Marcos_Rojo_vs_Rostov.jpg 
Marcus Rashford,https://upload.wikimedia.org/wikipedia/commons/e/e7/Marcus_Rashford_2017-11-05_1.jpg?20171121174407 
Marouane Fellaini,https://upload.wikimedia.org/wikipedia/commons/a/ae/Fellaini_2017-03-09.jpg?20170310054108 
Mason Greenwood,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Manchester_United_v_Brentford,_28_July_2021_(32).jpg/1156px-Manchester_United_v_Brentford,_28_July_2021_(32).jpg?20220201195333" 
Memphis Depay,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Memphis_Depay_-_July_2015c.jpg/640px-Memphis_Depay_-_July_2015c.jpg 
Paul Pogba,"https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Manchester_United_v_Zorya_Luhansk,_September_2016_(07)_-_Paul_Pogba_(edited).jpg/972px-Manchester_United_v_Zorya_Luhansk,_September_2016_(07)_-_Paul_Pogba_(edited).jpg?20161003174008" 
Phil Jones,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Phil_Jones_2017.jpg/640px-Phil_Jones_2017.jpg 
Raphaël Varane,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Raphaël_Varane_2022.jpg/330px-Raphaël_Varane_2022.jpg?20220216212525 
Rasmus Højlund,https://upload.wikimedia.org/wikipedia/commons/d/d3/Rasmus_Højlund_with_a_fan.jpg?20241226181644 
Scott McTominay,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Manchester_United_v_Leeds_United,_14_August_2021_(18).jpg/960px-Manchester_United_v_Leeds_United,_14_August_2021_(18).jpg?20211002102256" 
Victor Lindelöf,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Manchester_United_v_Everton,_2_October_2021_(40).jpg/960px-Manchester_United_v_Everton,_2_October_2021_(40).jpg?20211208045920" 
Zlatan Ibrahimović,"https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Manchester_United_v_Zorya_Luhansk,_September_2016_(08)_-_Zlatan_Ibrahimović_(edited).jpg/960px-Manchester_United_v_Zorya_Luhansk,_September_2016_(08)_-_Zlatan_Ibrahimović_(edited).jpg?20161003185057" 
